time,"I(LIP|XI3|XN_05_)"
1.394000e-10,-3.752944e-05
1.396000e-10,-3.746896e-05
1.398000e-10,-3.747509e-05
1.400000e-10,-3.754820e-05
1.402000e-10,-3.768348e-05
1.404000e-10,-3.787056e-05
1.406000e-10,-3.809349e-05
1.408000e-10,-3.833165e-05
1.410000e-10,-3.856144e-05
1.412000e-10,-3.875870e-05
1.414000e-10,-3.890148e-05
1.416000e-10,-3.897277e-05
1.418000e-10,-3.896276e-05
1.420000e-10,-3.887035e-05
1.422000e-10,-3.870356e-05
1.424000e-10,-3.847904e-05
1.426000e-10,-3.822042e-05
1.428000e-10,-3.795591e-05
1.430000e-10,-3.771517e-05
1.432000e-10,-3.752594e-05
1.434000e-10,-3.741072e-05
1.436000e-10,-3.738383e-05
1.438000e-10,-3.744945e-05
1.440000e-10,-3.760076e-05
1.442000e-10,-3.782045e-05
1.444000e-10,-3.808266e-05
1.446000e-10,-3.835604e-05
1.448000e-10,-3.860765e-05
1.450000e-10,-3.880704e-05
1.452000e-10,-3.893010e-05
1.454000e-10,-3.896213e-05
1.456000e-10,-3.889963e-05
1.458000e-10,-3.875074e-05
1.460000e-10,-3.853413e-05
1.462000e-10,-3.827660e-05
1.464000e-10,-3.800960e-05
1.466000e-10,-3.776532e-05
1.468000e-10,-3.757261e-05
1.470000e-10,-3.745355e-05
1.472000e-10,-3.742084e-05
1.474000e-10,-3.747646e-05
1.476000e-10,-3.761172e-05
1.478000e-10,-3.780847e-05
1.480000e-10,-3.804156e-05
1.482000e-10,-3.828203e-05
1.484000e-10,-3.850067e-05
1.486000e-10,-3.867163e-05
1.488000e-10,-3.877551e-05
1.490000e-10,-3.880158e-05
1.492000e-10,-3.874895e-05
1.494000e-10,-3.862635e-05
1.496000e-10,-3.845085e-05
1.498000e-10,-3.824540e-05
1.500000e-10,-3.803580e-05
1.502000e-10,-3.784742e-05
1.504000e-10,-3.769931e-05
1.506000e-10,-3.760022e-05
1.508000e-10,-3.754793e-05
1.510000e-10,-3.753191e-05
1.512000e-10,-3.753758e-05
1.514000e-10,-3.755038e-05
1.516000e-10,-3.755810e-05
1.518000e-10,-3.755141e-05
1.520000e-10,-3.752302e-05
1.522000e-10,-3.746674e-05
1.524000e-10,-3.737729e-05
1.526000e-10,-3.725111e-05
1.528000e-10,-3.708763e-05
1.530000e-10,-3.689039e-05
1.532000e-10,-3.666702e-05
1.534000e-10,-3.642813e-05
1.536000e-10,-3.618507e-05
1.538000e-10,-3.594770e-05
1.540000e-10,-3.572267e-05
1.542000e-10,-3.551290e-05
